group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V50-1-TCP-CC1-HTTP-Not-Encrypted,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC1-HTTP-Not-Encrypted,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC1-HTTP-Not-Encrypted,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-Custom-Encryption-7,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-Custom-Encryption-7,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-Custom-Encryption-7,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-WEB-Established,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-WEB-Established,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-WEB-Established,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC12-HTTP-Not-Encrypted,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC12-HTTP-Not-Encrypted,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC12-HTTP-Not-Encrypted,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-DNS,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-DNS,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-DNS,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC5-Plain-HTTP-Encrypted-Data,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC5-Plain-HTTP-Encrypted-Data,xgboost,2,2,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC5-Plain-HTTP-Encrypted-Data,xgboost_gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-25,gru,2,2,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-25,xgboost,2,0,2,0.0,1.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-25,xgboost_gru,2,1,1,0.5,0.5
attack_type,From-Botnet-V43-TCP-Established,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-Custom-Encryption-6,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-Custom-Encryption-6,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-Custom-Encryption-6,xgboost_gru,1,1,0,1.0,0.0
